"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Serpentes","redonda",0,0,0
"Serpentes","roatan",1,9,10
"Serpentes","roques",0,0,0
"Serpentes","rum cay",0,0,0
"Serpentes","saba",0,1,1
"Serpentes","samana",0,0,0
"Serpentes","san andres",0,4,4
"Serpentes","san salvador",0,1,1
"Serpentes","sombrero",0,0,0
"Serpentes","st christopher",4,2,6
"Serpentes","st croix",1,2,3
"Serpentes","st lucia",0,6,6
"Serpentes","st vincent",0,4,4
"Serpentes","swan",0,2,2
"Serpentes","testigos",0,3,3
"Serpentes","tobago",0,22,22
"Serpentes","tortuga",0,0,0
"Serpentes","trinidad",0,41,41
"Serpentes","turks",1,2,3
"Serpentes","turneffe",0,2,2
"Serpentes","utila",4,9,13
"Anolis","anguilla",3,2,5
"Anolis","antigua",0,2,2
"Anolis","aruba",2,1,3
"Anolis","aves",0,1,1
"Anolis","barbados",1,1,2
"Anolis","bermuda",4,0,4
"Anolis","blanquilla",0,1,1
"Anolis","bonaire",0,1,1
"Anolis","caicos",1,1,2
"Anolis","cay sal",0,2,2
"Anolis","cayman brac",1,2,3
"Anolis","chinchorro",0,1,1
"Anolis","conception",0,2,2
"Anolis","corn",0,2,2
"Anolis","cozumel",0,2,2
"Anolis","crooked acklins",0,2,2
"Anolis","cuba",0,64,64
"Anolis","curacao",0,2,2
"Anolis","desecheo",0,1,1
"Anolis","dominica",1,1,2
"Anolis","glover",1,0,1
"Anolis","grand cayman",3,1,4
"Anolis","great bahama",1,4,5
"Anolis","great inagua",0,1,1
"Anolis","grenada",1,2,3
"Anolis","guadeloupe",0,4,4
"Anolis","guanaja",0,1,1
"Anolis","hispaniola",2,62,64
"Anolis","iles des saintes",0,1,1
"Anolis","ilsa de providencia",0,1,1
"Anolis","jamaica",1,6,7
"Anolis","klein curacao",1,0,1
"Anolis","las aves",0,2,2
"Anolis","lighthouse atoll",1,1,2
"Anolis","little bahama",4,1,5
"Anolis","little cayman",0,2,2
"Anolis","little inagua",0,1,1
"Anolis","marie galante",0,1,1
"Anolis","martinique",0,1,1
"Anolis","mayaguana",0,1,1
"Anolis","mira por vos",0,0,0
"Anolis","mona",0,1,1
"Anolis","monito",0,1,1
"Anolis","monjes",0,0,0
"Anolis","montserrat",0,1,1
